SKU,Nombre
,Andamio Tubular DUROLL
,Azada Forjada Mendocina S/ cabo BIASSONI
,Disco Flap 115mm de Fibra Zirconio Plano Pegaso
,Disco Diamantado Continuo Patroll
,Disco Diamantado Segmentado Patroll
,Disco Diamantado Turbo Patroll
,Brocas SDS Max Venturo
,Brocas SDS Plus Venturo
,Electrodos Conarco 13A Punta Azul
,Electrodos Conarco 18 Punta Verde
,Alambre MIG Sin Gas LQFLUX LUSQTOFF
,Alambre MIG Lusqtoff
,
,Silla Gamer KARUT
,Candados TOTAL
,Taladro percutor TOTAL 20V TDLI2003-4
,Crique
,Barre Hojas Plástico TRUPER
,Disco FLAP 180 mm PEGASO
,Tubos de impacto largos TRUPER
,Extractor de poleas TRUPER
,Escuadra magnética LUSQTOFF
,Saca bujías DRIVEN
,Cable puente pasa corriente DRIVEN
,Prensas de hierro G para carpintería TRUPER
,Impregnante PREMIER Lasur Brillante
,Impregnante PREMIER Lasur Satinado
,Látex interior PREMIER
,Esmalte sintético PREMIER 3en1 Acción múltiple
,Esmalte Sintético PREMIER
,Barniz sintético BRILLANTE PREMIER
,Barniz sintético MATE PREMIER
,FONDO BLANCO para madera PREMIER
,ENDUIDO plástico INT-EXT PREMIER
,LATEX acrílico INT-EXT PREMIER
,Latex Don-Juan interior PREMIER
,Latex Don-Juan Exterior PREMIER
,Látex Don-Juan Interior-Exterior PREMIER
,Pincel de madera TOTAL
,Pincel de plástico TOTAL
,Rodillo para pintar TOTAL
,Enduido LUSQTOFF
,Látex INT-EXT LUSQTOFF
,Látex INTERIOR LUSQTOFF
,Sellador concentrado LUSQTOFF
,Llaves combinadas con crique milimétricas BIASSONI
,Llaves Combinadas Acodadas Milimétricas BIASSONI
,Llaves combinadas acodadas en Pulgadas BIASSONI
,Saca bujías DRIVEN - 16 mm
,Bidón Para Combustible 4 Lts DRIVEN
,Soporte de fibra para disco Amoladora TRUPER
,Cinta métrica EVEL
,Cinta métrica Agrimensor EVEL
,Niveles TRUPER
,Espátula de plástico TRUPER
,Espatula para Durlock TRUPER
,Barra de Silicon repuesto TRUPER
,Soga Trenzada Multifilamento KARUT
,Prensa rápida con resorte TRUPER
,Grillete recto galvanizado DUROLL
,Aerosol Pintura color PREMIER
A162,"Aerosol Pintura color PREMIER - Negro satinado, 427 cc"
,"Aerosol Pintura color PREMIER - Verde manzana, 240 cc"
,"Aerosol Pintura color PREMIER - Verde manzana, 427 cc"
,"Aerosol Pintura color PREMIER - Traful, 240 cc"
,"Aerosol Pintura color PREMIER - Traful, 427 cc"
,Aerosol Barniz PREMIER
,Aerosol Anti-oxido PREMIER
,Aerosol Alta temperatura PREMIER
,Crique botella reforzado KONAN
,Guantes vaqueta De Pascale
,Guantes Nitrilo recubierto S/costura De Pascale
,Guantes Nitrilo recubierto COMPLETO S/costura De Pascale
,Llave Ajustable TOTAL
,Llave Ajustable TOTAL - 150 mm
,Tenaza Armador BIASSONI
,Prensa Sargento de presión 50 mm TOTAL
,Prensa Sargento de presión 120 mm TOTAL
,Formón para carpintero TOTAL
,Pinza de presión curva TRUPER Mordaza
,Llave para caño Stillson TOTAL
,Martillo de Acero y Fibra TOTAL
,Martillo de Bola TOTAL
,Maza Acero Forjado C/Fibra TOTAL
,Maza Acero Forjado C/Fibra TOTAL - 2 Kg
,Pinza presión Punta larga TRUPER
,Pinza de Presión Sargento TRUPER
,Cable Eléctrico 1.5 mm WIREFLEX
,Caja de Herramientas Plástica TRUPER
,Caja de Herramientas Plástica c/ Compartimentos TRUPER
,Caja de Herramientas Plástica PRETUL
,Caja De Herramientas Metalica PAPAGNO
,Caja De Herramientas Metalica ECO PAPAGNO
,Fijador Al Agua PREMIER
,Morsa Tipo Yunke BARBERO
,Escalera Dieléctrica Doble Acceso DUROLL
,Escalera Dieléctrica Extensible KARUT
,Escalera De Aluminio Extensible KARUT
,Morsa Tipo Yunke DUROLL
,Guinche Eléctrico con Pluma 500 Kg DUROLL EGCP500
,Odómetro con Doble rueda TRUPER
,Lima Perfil Triangular con Mango TRUPER
,Prensa Sargento TRUPER
,Maza de Goma TRUPER
,Lima Bastarda TRUPER
,Escuadra Para Albañil TRUPER
,Guante de Nylon Recubierto Poliuretano TRUPER
,Guantes de Nylon Recubierto NBR TRUPER
,Niveles SOLA
,Bidón para combustible 8 Lts DRIVEN
,Maza Para Demolición TOTAL
,"Sierra de Widia 7"" DUROLL"
,Morsa Esquinera LUSQTOFF
,Morsa Plana LUSQTOFF
,Morsa para taladro doble eje LUSQTOFF
ES3L45-8,Estación de soldado LUSQTOFF ES3L45-8
evomig-220,Soldadora Inverter MMA-MIG LUSQTOFF EVOMIG-220
