SKU,Inventario,Precio normal
096952,-6.0,3074.61
101687,0.0,1365.29
10-36-037,0.0,1574384.24
10-36-038,1.0,1574384.24
10647,24.0,11570.58
10890,0.0,4172.95
10891,0.0,7041.85
10902,0.0,75403.67
11873,0.0,3900.11
11875,0.0,5980.22
096950,-2.0,3074.61
100376,0.0,16900.84
100437,0.0,4810.29
100850,52.0,10075.55
101685,0.0,1690.04
101780,0.0,4199.04
10-36-036,0.0,1574384.24
10-36-070,0.0,216795.23
10-36-167,2.0,330359.64
10-36-265,0.0,330359.64
10638,0.0,5460.22
10752,13.0,4368.2
10754,0.0,21320.96
10889,0.0,1564.95
10-92-148,0.0,479977.84
12022,0.0,6552.36
12939,104.0,818.81
13417,117.0,1950.0
13420,118.0,2600.18
13426,112.0,5980.23
13975,0.0,258711.18
13988,55.0,1012.38
14-30-200,3.0,722650.52
14-30-220,0.0,722650.52
14388,11.0,41602.17
14651,0.0,29901.16
15030,13.0,12220.85
15314,5.0,27951.25
15850,0.0,3640.3
15962,0.0,4875.28
16018,0.0,15945.4
16654,0.0,13780.53
16856,3.0,167706.64
16857,0.0,33801.29
16965,28.0,1495.15
17032,28.0,7852.23
17058,-1.0,1300.08
12717,12.0,3380.17
12942,79.0,818.81
13422,114.0,3119.95
13423,90.0,2600.17
13547,0.0,136865.22
13BB775S345,0.0,3912514.41
14197,16.0,27301.19
14447,23.0,2990.12
14449,56.0,3900.11
14451,55.0,4940.09
14534,0.0,13650.49
15040,12.0,21321.13
15312,5.0,16250.74
15313,5.0,18980.88
1559JB,0.0,95603.36
15852,0.0,4810.27
15854,0.0,5850.24
1600A01B6Z,7.0,80187.04
16012,0.0,18850.93
17550,37.0,4550.37
17556,0.0,10140.42
18600-20,0.0,288256.18
19-10-030,0.0,949097.31
19-11-030,0.0,837266.43
19-11-230,0.0,1071129.86
19-11-330,0.0,1762618.22
19-13-011,10.0,1.4
19-41-030,0.0,596581.02
19997,0.0,11960.52
21420,0.0,12480.57
22400,0.0,2730.03
16950,57.0,10400.47
16951,0.0,5590.39
16956,0.0,1690.03
17025,0.0,12220.72
18620-20,0.0,383029.64
19-13-012,1.0,3665.05
19-13-022,5.0,19352.12
19232,37.0,10725.49
19-50-000,0.0,2496766.01
19915,59.0,26651.15
20214,1.0,7800.54
26008,17.0,3900.12
4059952565415,8.0,327155.34
5016542-01,0.0,239897.66
56D-3/8APH,0.0,37227.91
5784001-72,0.0,40037.84
5859432-66,1.0,0.0
5882670-01,0.0,108270.84
6046950,0.0,12510.31
9010637,0.0,122078.03
992108,0.0,27400.15
992120,52.0,24909.23
26007,1.0,7280.18
5016529-01,0.0,198996.76
5448054-02,33.0,11520.05
5820869-64,4.0,50688.0
5882664-01,8.0,64271.62
6051990,-2.0,12531.78
992183,7.0,88640.69
992192,0.0,29891.1
992856,0.0,10982.29
992858,0.0,20450.17
993130,111.0,10653.69
A121,121.0,2040.75
A122,5.0,2778.74
AD-HEX-HEX,16.0,8686.63
AMM13M-9,0.0,1300.1
ANL120-8A,0.0,15434.19
BSA18LED4000,0.0,272955.03
CAML250-8,0.0,162507.46
CAR-005,0.0,143923.83
992117,0.0,27400.12
992855,0.0,7651.52
992857,0.0,13833.43
993100,3.0,10653.67
A051,66.0,2040.75
A052,0.0,2778.74
AD-SDS/M,13.0,2108.68
AD-SDS-HEX,16.0,6571.52
CC2TD,0.0,169698.46
CCR100-9,0.0,3575.15
CCR75-9,0.0,3250.25
CepilloGHO18V-LI,2.0,226747.18
CFL230-8,0.0,39001.75
CPCL40-8,0.0,563941.73
CSDSP20L-9,0.0,1820.02
DDS115-9,0.0,3250.23
DDS180-9,0.0,9100.4
DDS230L-9,0.0,15600.71
DDT115H-9,0.0,3575.13
DRS68,0.0,267195.14
DS14,0.0,205537.3
DSSW1690,0.0,886401.56
DSSW2440,0.0,1413094.14
DSSW930,0.0,398241.04
DVEL125-9,0.0,3250.23
FM500-6,0.0,131580.3
FSP600HVLP,0.0,357760.23
FSP600LVLP,0.0,372068.64
GAA18V-24N,0.0,22308.76
GAL18V-40,19.0,34644.64
GC9040-50,0.0,27306.47
GCL5318-8,0.0,42740.74
GCM10X,0.0,329848.6
GDE230FC-S,0.0,185588.13
GDE68,0.0,61853.18
GDL400-9,0.0,21370422.89
BH18LTXBL16,0.0,432742.46
BHL360-8,0.0,195009.07
BM2P,61.0,38805.46
BML5-8,0.0,32501.43
BS175,0.0,601033.1
BSA12-18LED2000,0.0,225099.54
BSA18LED10000,0.0,371519.21
BTCL7-8,0.0,182008.56
CAR-020,0.0,145670.73
CFL350-8,0.0,91004.27
CML1850-8,0.0,617367.91
CSL2200-8,0.0,156007.55
